Requirement,Context (Keywords),Name of Doc,Sec/NotSec,Labeled by,Comments,Label,Labeled by,Comments,,,,,,
The System must allow the user to limit access to cases to specified users or user groups.,Access Module,cctns.pdf,1,Кирилл,,Access control,Aydar,Not sure,All existing keywords:,Number of entries:,All existing labels:,Number of entries:,Accepted labels:,
The system should provide for role-based control for the functionality within the system.,Access Module,cctns.pdf,1,Кирилл,,Access control,Aydar,,Access Module,11,Access control,79,Confidentiality,358
The System must allow a user to be a member of more than one group.,Access Module,cctns.pdf,1,Кирилл,,Access control,Aydar,,Usability,1,Other,51,Integrity,254
The System must allow only admin-users to set up user profiles and allocate users to groups.,Access Module,cctns.pdf,1,Кирилл,,Access control,Aydar,,Security Requirements,51,Confidentiality,358,Availability,45
The System should allow a user to stipulate which other users or groups can access cases.,Access Module,cctns.pdf,1,Кирилл,,Access control,Aydar,,Functional requirements,55,Accountability,140,Accountability,140
"The System must allow changes to security attributes for groups or users (such as access rights, security level, privileges, password allocation and management) to be made only by super-user.",Access Module,cctns.pdf,1,Кирилл,,Access control,Aydar,,Non-functional requirements,4,Integrity,254,Operational,132
"If a user requests access to, or searches for, a case which he does not have the right to access, the System must provide one of the following responses (selectable at configuration time): display title and metadata; display the existence of a case but not its title or other metadata; do not display any case information or indicate its existence in any way, these options are presented in order of increasing security, note that the requirement in the third option (i.e. the most stringent) implies that the System must not include such cases in any count of search results; this level of security is normally appropriate for cases dealing with matters such as national security.",Access Module,cctns.pdf,1,Кирилл,,Access control,Aydar,,Memory Management Services,1,Availability,45,Access control,79
These options are presented in order of increasing security. Note that the requirement in the third option (i.e. the most stringent) implies that the System must not include such cases in any count of search results; this level of security is normally appropriate for cases dealing with matters such as national security.,Access Module,cctns.pdf,1,Кирилл,,Other,Aydar,,Security,422,Confidentiality/Integrity/Access control,1,Other,51
"If a user performs a quick or advanced search, the System must never include in the search result list any record which the user does not have the right to access.",Access Module,cctns.pdf,1,Кирилл,,Confidentiality,Aydar,,Presence,1,Operational,132,Sum:,1059
"If the System allows users to make unauthorised attempts to access cases, it must log these in the audit trail.",Access Module,cctns.pdf,1,Кирилл,,Accountability,Aydar,,Systems: Security,3,continue,2,All:,1094
"Any access to cases, and all other activities involving the cases and related documents or data should also need to be stored in the audit trail to ensure legal admissibility and to assist in data recovery.",Access Module,cctns.pdf,1,Кирилл,,Accountability,Aydar,,Specific High Level Requirements,4,Availability/Confidentiality/Integrity,1,Left no good:,35
Appropriate content presentation also plays a key role in accessibility.,Usability,cctns.pdf,1,Кирилл,,Other,Aydar,,Access,23,Functional,5,,
The system shall validate credit cards against fraud.,Security Requirements,gamma j.pdf,1,Кирилл,,Confidentiality,Aydar,,Software System Attributes,1,Confidentiality?,4,,
The system shall encrypt all sensitive information via https.,Security Requirements,gamma j.pdf,1,Кирилл,,Integrity,Aydar,,Overall Description,1,Integrity?,2,,
The system shall encrypt all customer data in database.,Security Requirements,gamma j.pdf,1,Кирилл,,Integrity,Aydar,,System Features,11,Operational?,7,,
The system shall auto detect IP DOS attacks and block IP automatically.,Security Requirements,gamma j.pdf,1,Кирилл,,Integrity,Aydar,,Functional Requirements,55,Availability?,2,,
The system shall detect consecutive failed login attempts.,Security Requirements,gamma j.pdf,1,Кирилл,,Confidentiality,Aydar,,Design Constraints,3,Access control?,1,,
The system shall be protected by open source firewall called Firestarter. http://www.fs-security.com/,Security Requirements,gamma j.pdf,1,Кирилл,,Other,Aydar,,Non-Functional Requirements,4,I don't know,7,,
Any administrative level user can delegate another user to execute some or all his authorized actions.,Functional requirements,inventory.pdf,1,Кирилл,,Confidentiality,Aydar,,Safety Requirements,1,Operational/Accountability,3,,
"As the data being exchanged between machines does not contain any private information and is not capable of undermining the system integrity of the computers connected to the MultiMahjongServer, encryption and protection of data are not needed.",Non-functional requirements,multi-mahjong.pdf,1,Кирилл,,Integrity,Aydar,,User characteristics,1,,0,,
Sockets maintain the buffers between the underlying packet based communication primitives that directly access the network elements and the message based.,Memory Management Services,nasa x38.doc,1,Кирилл,,Availability,Aydar,Not sure,Access Privileges,6,,0,,
Remote monitoring and operation of devices requires strict security measures for several rea- sons.,Security,elsfork.pdf,1,Кирилл,,Other,Aydar,Not sure,Quality Attributes,1,,0,,
"To protect the data from being stolen, corrupted, and intentionally falsified, to protect the device from unauthorised use or to preserve the privacy of monitoring data.",Security,elsfork.pdf,1,Кирилл,,Integrity,Aydar,,Basic Functional Requirements,22,,,,
"To enforce these security requirements the following functionality is needed: Authentication, Data Integrity and Data Confidentiality.",Security,elsfork.pdf,1,Кирилл,,Confidentiality/Integrity/Access control,Aydar,,Required States and Modes,3,,,,
Server authentication shall ensure the client application that it is truly operating on the in- tended site.,Security,elsfork.pdf,1,Кирилл,,Confidentiality,Aydar,,Capability Requirements,4,,,,
Client authentication ensures that an authorised client/operator is operating the equipment.,Security,elsfork.pdf,1,Кирилл,,Integrity,Aydar,,Security and Privacy Requirements,2,,,,
